MEMID,ED16A
000103017052004,Higher
000103017052005,Primary
000103017052006,Primary
000103017061001,Higher
000103017061002,Higher
000103017061003,Higher
000103017061004,Higher
000103017061005,Higher
000103017061006,Higher
000103017061007,Higher
000103017070001,Secondary
000103017070002,Higher
000103017070003,Primary
000103017079001,Primary
000103017079002,Higher
000103017079003,Secondary
000103017079004,Higher
000103017079005,Secondary
000103017079006,
000103017079007,Higher
000103017088001,
000103017088002,Secondary
000103017088003,Secondary
000103017088004,
000103017088005,Higher
000103017088006,Higher
000103017088007,Higher
000103017088008,Primary
000103017088009,Primary
000103017088010,Primary
000103017088011,
000103017088012,
000103017088013,Higher
000103017097001,Higher
000103017097002,Higher
000103017097003,Higher
000103017097004,Primary
000103017106001,Higher
000103017106002,Higher
000103017106003,Secondary
000103017106004,Primary
000103017106005,Higher
000103017115001,Higher
000103017115002,Primary
000103017115003,Higher
000103017115004,Higher
000103017115005,Higher
000103017115006,Higher
000103017115007,Higher
000103017115008,Primary
000103017115009,Primary
000103017115010,Secondary
000103017126001,Higher
000103017126002,Primary
000103017126003,Primary
000103017126004,Primary
000103017126005,Primary
000103017133001,Higher
000103017133002,Higher
000103017133003,
000103017133004,
000103017142001,Secondary
000103017142002,Primary
000103017142003,Higher
000103017142004,Higher
000103017142005,Primary
000103017142006,Primary
000103017142007,Higher
000103017151001,Non-formal curriculum
000103017151002,Higher
000103017160001,Secondary
000103017160002,Primary
000103017160003,Higher
000103017160004,Primary
000103017160005,Primary
000103017169001,Higher
000103017169002,Higher
000103017169003,Higher
000103017169004,Primary
000103017169005,Primary
000103017178001,Secondary
000103017178002,Secondary
000103017178003,Higher
000103017178004,Higher
000103017178005,Higher
000103017178006,Secondary
000103017178007,
000103017187001,Higher
000103017187002,Secondary
000103017187003,Higher
000103017187004,Higher
000103017187005,Higher
000103017187006,Secondary
000103017187007,
000103017196001,Primary
000103017196002,Secondary
000103017196003,Secondary
000103017196004,Primary
000103017196005,Primary
000103017205001,Higher
000103017205002,Higher
000103017205003,Primary
000103017205004,Primary
000103017205005,Higher
000103017214001,Higher
000103017214002,Secondary
000103017214003,Higher
000103017214004,
000103017223001,Secondary
000103017223002,Higher
000103017223003,Higher
000103017223004,Secondary
000103017223005,Primary
